03:47:22.769066 config: drop-rate=0.00, max-delay=100ms, seed=2387230234324
03:47:22.769370 router is listening at :3000
03:47:31.654091 [queue=1] packet #0, 127.0.0.1:55230 -> 127.0.0.1:8080, sz=0 is delayed for 44ms
03:47:31.702684 [queue=0] packet #0, 127.0.0.1:55230 -> 127.0.0.1:8080, sz=0 is delivered
03:47:31.703955 [queue=1] packet #0, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=0 is delayed for 63ms
03:47:31.767106 [queue=0] packet #0, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=0 is delivered
03:47:31.767254 [queue=1] packet #0, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delayed for 14ms
03:47:31.767364 [queue=2] packet #1, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=11 is delayed for 28ms
03:47:31.767416 [queue=3] packet #2, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=11 is delayed for 2ms
03:47:31.767449 [queue=4] packet #3, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=11 is delayed for 89ms
03:47:31.767465 [queue=5] packet #4, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=11 is delayed for 51ms
03:47:31.767484 [queue=6] packet #5, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=3 is delayed for 99ms
03:47:31.767499 [queue=7] packet #6, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delayed for 8ms
03:47:31.769954 [queue=6] packet #2, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=11 is delivered
03:47:31.770083 [queue=7] packet #2, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=0 is delayed for 35ms
03:47:31.776989 [queue=6] packet #6, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delivered
03:47:31.777102 [queue=7] packet #6, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=0 is delayed for 23ms
03:47:31.781677 [queue=6] packet #0, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delivered
03:47:31.795521 [queue=5] packet #1, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=11 is delivered
03:47:31.795761 [queue=6] packet #1, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=0 is delayed for 18ms
03:47:31.801418 [queue=5] packet #6, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=0 is delivered
03:47:31.805717 [queue=4] packet #2, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=0 is delivered
03:47:31.813954 [queue=3] packet #1, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=0 is delivered
03:47:31.819777 [queue=2] packet #4, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=11 is delivered
03:47:31.820011 [queue=3] packet #4, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=0 is delayed for 13ms
03:47:31.835429 [queue=2] packet #4, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=0 is delivered
03:47:31.856678 [queue=1] packet #3, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=11 is delivered
03:47:31.857017 [queue=2] packet #3, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=0 is delayed for 4ms
03:47:31.861548 [queue=1] packet #3, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=0 is delivered
03:47:31.867882 [queue=0] packet #5, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=3 is delivered
03:47:31.868119 [queue=1] packet #5, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=0 is delayed for 86ms
03:47:31.868191 [queue=2] packet #6, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=0 is delayed for 52ms
03:47:31.920880 [queue=1] packet #6, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=0 is delivered
03:47:31.921100 [queue=2] packet #0, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delayed for 17ms
03:47:31.921149 [queue=3] packet #0, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delayed for 46ms
03:47:31.921169 [queue=4] packet #0, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delayed for 86ms
03:47:31.921187 [queue=5] packet #0, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delayed for 86ms
03:47:31.921201 [queue=6] packet #0, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delayed for 6ms
03:47:31.928856 [queue=5] packet #0, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delivered
03:47:31.928981 [queue=6] packet #6, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=0 is delayed for 65ms
03:47:31.938739 [queue=5] packet #0, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delivered
03:47:31.938834 [queue=6] packet #6, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=0 is delayed for 76ms
03:47:31.955496 [queue=5] packet #5, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=0 is delivered
03:47:31.967511 [queue=4] packet #0, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delivered
03:47:31.967661 [queue=5] packet #6, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=0 is delayed for 81ms
03:47:31.995619 [queue=4] packet #6, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=0 is delivered
03:47:32.007409 [queue=2] packet #0, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delivered
03:47:32.007581 [queue=3] packet #6, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=0 is delayed for 19ms
03:47:32.007430 [queue=2] packet #0, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delivered
03:47:32.015326 [queue=2] packet #6, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=0 is delivered
03:47:32.016068 [queue=3] packet #7, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=11 is delayed for 63ms
03:47:32.016128 [queue=4] packet #8, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=11 is delayed for 99ms
03:47:32.016169 [queue=5] packet #9, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=11 is delayed for 6ms
03:47:32.016194 [queue=6] packet #10, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=11 is delayed for 44ms
03:47:32.016214 [queue=7] packet #11, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=11 is delayed for 35ms
03:47:32.016252 [queue=8] packet #12, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=11 is delayed for 21ms
03:47:32.016286 [queue=9] packet #13, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=11 is delayed for 24ms
03:47:32.016303 [queue=10] packet #14, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=11 is delayed for 31ms
03:47:32.016321 [queue=11] packet #15, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=11 is delayed for 65ms
03:47:32.022383 [queue=10] packet #9, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=11 is delivered
03:47:32.022511 [queue=11] packet #9, 127.0.0.1:55230 -> 127.0.0.1:57139, sz=0 is delayed for 20ms
03:47:32.027725 [queue=10] packet #6, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=0 is delivered
03:47:32.037506 [queue=9] packet #12, 127.0.0.1:57139 -> 127.0.0.1:55230, sz=11 is delivered
